id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1500107,2020,1656576408,135372697,1521203711,23448821,66068923,573434148,64721243
1500131,2020,95677579,6828492,88849087,22317457,10042181,22450386,34039063
1500206,2020,881826062,23108247,858717815,429718795,32174957,105337425,291486639
1500305,2020,438243614,11884722,426358892,161666729,19400435,52645247,192646481
1500347,2020,53121794,66412714,464805225,186802977,110254712,56042093,111705443
1500404,2020,691613858,21818344,669795513,264638686,23391634,131941049,249824145
1500503,2020,627583787,67550341,560033446,7093665,188786229,123321866,1769887
1500602,2020,2556445164,265401984,229104318,323941844,348720866,107119383,547186639
1500701,2020,228694024,10791274,21790275,35373772,6753011,33371914,142404052
1500800,2020,8141094514,1170041189,6971053325,11302999,108642369,4013325643,1860000993
1500859,2020,521583495,37833623,483749872,202523121,19451981,126843904,134930866
1500909,2020,365943838,12484462,353459376,58148874,13689,57928673,223692829
1500958,2020,267527552,10092851,257434701,69467431,981172,45044776,133110774
1501006,2020,138806567,1944955,136861611,43872181,3768548,12947321,76273561
1501105,2020,232844525,4774756,228069769,75817789,5576673,25014351,121660956
1501204,2020,615634194,1067046,604963734,325844598,1751378,71514376,19009098
1501253,2020,10063877,2523376,98115394,6427906,1643487,10030803,22162044
1501303,2020,7437481159,1674642856,5762838304,167676353,3665600099,1278631446,650930405
1501402,2020,30835763449,5034036311,25801727137,9137921,3798539613,16481346577,5430461736
1501451,2020,186597898,6982321,179615578,47518269,9158422,36023741,86915145
1501501,2020,1675047739,379412404,1295635336,438163,437079799,603586089,250587817
1501576,2020,207834836,9040865,198793971,66012191,7196553,42644581,82940645
1501600,2020,189663073,28113504,161549568,19413851,54624745,24127329,63383643
1501709,2020,1377141182,10293422,1274206962,233265191,8116616,452439501,507336111
1501725,2020,322209966,18922466,303287501,139416094,12271355,74632624,76967428
1501758,2020,88613631,3220671,8539296,31819297,3114431,15477959,34981272
1501782,2020,688187235,66870237,621316998,83981606,123939891,139335694,274059808
1501808,2020,847225319,50293776,796931543,5076502,29268036,210935555,505962932
1501907,2020,488391035,7811796,480579239,276737223,17964023,54369641,131508351
1501956,2020,215678005,6613985,20906402,43404503,6378541,28968944,130312031
1502004,2020,230426787,6224795,224201991,82858568,6947843,31543887,102851693
1502103,2020,133254972,52086348,1280463372,408314083,37140435,26601453,568994323
1502152,2020,22522725435,371525556,22151199879,86816435,19434709308,2246219335,383454801
1502202,2020,1227086485,171631308,1055455177,116712513,111429294,563956568,263356803
1502301,2020,704881176,34183332,670697844,248626496,35467137,166978265,219625945
1502400,2020,4293180161,716762706,3576417455,130546408,606534434,1943834769,895501843
1502509,2020,218344168,2671896,215672272,86587697,3367794,1450794,111208841
1502608,2020,93043039,2691619,9035142,14931818,2770348,17366436,55282818
1502707,2020,621768785,51555704,570213081,108936454,3431158,226981746,199983301
1502756,2020,32255035,19368098,303182251,54944053,14595411,73935519,159707269
1502764,2020,408054804,12223109,395831695,276335273,7870802,46495309,65130312
1502772,2020,644502281,31553627,612948654,83261106,320692009,106142449,102853089
1502806,2020,266866033,7646524,259219509,47932782,6261281,39856899,165168547
1502855,2020,14021347,3502207,136711263,41054072,3696275,20667662,71293254
1502905,2020,330354857,11079723,319275133,80923568,11720959,58183979,168446626
1502939,2020,783205529,89200459,694005069,122204288,45552731,277546279,248701771
1502954,2020,52072561,47166337,473559273,113416506,70746565,142978912,14641729
1503002,2020,63578635,217584,61402795,724028,2564019,1421464,37383856
1503044,2020,414123489,18155229,39596826,200037912,2767264,71428907,96828801
1503077,2020,256395126,8506026,2478891,70897479,8871332,46106572,122013716
1503093,2020,371974662,21968335,350006328,7824341,15729825,80588177,175444916
1503101,2020,294442529,8760406,285682123,61192145,7156265,47011087,170322626
1503200,2020,379257235,26300722,352956513,74036644,27812175,99893789,151213905
1503309,2020,627685293,31785987,595899306,168605226,32062503,104632115,290599462
1503408,2020,155790855,9734989,146055866,65517472,16440941,16226818,47870634
1503457,2020,607201606,28039976,57916163,64688233,154594327,87163957,272715113
1503507,2020,249125329,11602966,237522363,51604234,8593985,55203733,122120411
1503606,2020,2626138568,299700523,2326438045,140244649,587805727,1123614035,474773635
1503705,2020,658373082,26148441,632224642,247072542,32149205,118570636,234432259
1503754,2020,576360341,14049609,562310732,53390412,277425281,54824594,176670446
1503804,2020,529375268,41699506,487675762,50200392,30933177,175714393,2308278
1503903,2020,1366721429,64237355,1302484074,171431413,549511487,279013965,302527209
1504000,2020,484663907,4913991,479749917,312016421,5396283,26818957,135518256
1504059,2020,324096858,2397579,300121068,26510302,13719401,114434177,145457188
1504109,2020,93193793,2123452,91070341,35287607,2787664,12842342,40152727
1504208,2020,12930110237,1056708821,11873401416,439736795,697500204,3165030072,1293632508
1504307,2020,255464174,6132164,24933201,6567043,9404505,4156819,132688886
1504406,2020,247549111,7417605,240131506,45295981,8314987,52869669,133650868
1504422,2020,2082398915,328687708,1753711207,2026912,221409292,954277855,575997148
1504455,2020,876394562,44473276,831921286,511388294,30543842,159647708,130341441
1504505,2020,196206278,4221738,19198454,25980164,5239606,21885888,138878882
1504604,2020,496240507,14528443,481712064,234008592,17791537,6714325,162768685
1504703,2020,1266648824,94402111,1172246713,472554455,93468765,237165691,369057802
1504752,2020,194088686,8850854,185237831,49060293,10416354,42340189,83420996
1504802,2020,710162313,31750041,678412272,236034885,29100524,160661825,252615038
1504901,2020,322133149,727761,314855539,97378369,9180275,40141913,168154983
1504950,2020,257345377,9558594,247786783,94619645,7786596,45261379,100119163
1504976,2020,169151418,8002146,161149272,44687793,7010282,31437271,78013926
1505007,2020,143695099,884709,134848008,27659914,5735718,36031716,6542066
1505031,2020,826541636,100043125,726498512,176827043,118780515,288751716,142139239
1505064,2020,939786171,62536196,877249975,288399607,27164621,215277243,346408505
1505106,2020,89715545,31769138,865386311,419448001,56363164,148748491,240826656
1505205,2020,441526901,878583,432741071,219533437,10189923,48537636,154480076
1505304,2020,2503140852,147010901,2356129951,248249134,1289234144,480870073,3377766
1505403,2020,203272491,9576643,193695848,67108871,16318714,40360933,69907329
1505437,2020,775454277,124558418,650895859,66925228,251745299,177761403,154463929
1505486,2020,723358636,34445052,688913584,314734277,27436943,127867941,218874423
1505494,2020,82964151,2700145,80264006,26116436,2881639,144678,36798131
1505502,2020,377729201,343665907,3433626104,324260243,1498702015,108470248,525961365
1505536,2020,3801486323,1178964493,36835898737,195418262,30269435874,4787420225,1583624377
1505551,2020,97363296,5689424,91673872,32057451,318774,2039031,36038372
1505601,2020,65722764,1999223,6372354,15097881,2218461,11373707,35033491
